ID,Cuadrante,Remocion,longitud total
0,1,1,6.94
0,1,1,1.78
0,1,1,6.81
0,5,1,2.25
0,7,3,2.34
0,7,3,2.17
0,7,3,2.1
0,7,3,1.96
0,7,3,2.01
0,7,2,2.17
0,7,2,2.05
0,7,2,2.19
0,7,2,2.12
0,7,1,2.1
0,7,2,2.3
0,7,1,2.73
0,7,1,2.56
0,7,1,2.17
0,7,1,2.94
0,7,1,2.1
0,7,2,2.56
0,7,1,2.95
0,8,2,2.15
0,8,3,2.22
0,8,2,2.13
0,8,2,2.44
0,8,2,1.99
0,8,2,2.5
0,8,2,2.69
0,8,2,2.68
0,8,2,2.2
0,8,1,2.15
0,8,2,2.34
0,8,1,1.97
0,8,1,2.25
0,8,1,2.27
0,8,1,2.53
0,8,1,2.34
0,8,1,2.28
0,8,1,2.03
0,8,1,2.2
0,8,1,2.05
